length = 1
length = 2
length = 3
length = 4
length = 5
length = 6
length = 7
length = 8
length = 9
length = 10
length = 11
length = 12
length = 13
length = 14
10101001010010 5 4
length = 15
length = 16
1010101001010010 5 4
length = 17
length = 18
101001000100100010 6 5
101010010100100010 6 5
101010100101010010 5 4
101010101001010010 5 4
length = 19
1010010001001000100 6 5
1010100101001010010 5 4
1010100101001000100 6 5
1010110100110100110 6 5
length = 20
10101001010010001000 6 5
10101001000100100010 6 5
10101001010010001010 6 5
10101010010100100010 6 5
10101010010101001010 5 4
10101010100101010010 5 4
10101010101001010010 5 4
10101101001011010010 6 5
length = 21
101001001000100100010 6 5
101010010001001000100 6 5
101010010100100010100 6 5
101010100101001000100 6 5
101010010100010100010 6 5
101010100101001010010 5 4
101010110100110100110 6 5
101010110101001010010 6 5
length = 22
1010010010001001000100 6 5
1010100100010100100010 6 5
1010100101001000100010 6 5
1010100101001001010010 6 5
1010101001010010001000 6 5
1010101001000100100010 6 5
1010101001010010001010 6 5
1010101001010100100010 6 5
1010101010010100100010 6 5
1010101010010101001010 5 4
1010101010010101010010 5 4
1010101010100101010010 5 4
1010101010101001010010 5 4
1010101101001011010010 6 5
1010110100110100110010 7 6
1011010110100110100110 7 6
length = 23
10100100010010001000010 7 6
10100100100001001000010 6 5
10101001010010001000100 6 5
10101001010010010100100 6 5
10101010010001001000100 6 5
10101010010100100010100 6 5
10101010010101001000100 6 5
10101010100101001000100 6 5
10101001001000100100010 6 5
10101001010000101000010 6 5
10101001010010001000010 7 6
10101001010010001010010 6 5
10101001010010100100010 6 5
10101010010100010100010 6 5
10101010010101001010010 6 5
10101010100101001010010 5 4
10101010110100110100110 6 5
10101010110101001010010 6 5
10101101001101001100100 7 6
10101101001000100100010 7 6
10101101001011010010110 6 5
10101101001100100110010 7 6
10101101001101001010010 7 6
10110101101001011010010 7 6
11011010110100110100110 7 6
	Time: 16.3 s
length = 24
101001000100100010000100 7 6
101001001000010010000100 6 5
101001000100100010000010 7 6
101001001000100100100010 6 5
101001001001000100100010 6 5
